Configuration:
-------------------------
epochs             : 30
num_workers        : 2
lr                 : 0.1
optim              : adadelta
batch_size         : 32
model              : resnet22_2
summary            : False
device             : cuda

Preparing dataset:
-------------------------
Files already downloaded and verified
Files already downloaded and verified

Training the model
-------------------------
Epoch: 1,  Train Loss: 1.17907236,  Train Accuracy: 57.524,  Test Loss: 0.90310422,  Test Accuracy: 68.570, Time: 40.421s
Epoch: 2,  Train Loss: 0.69058126,  Train Accuracy: 75.814,  Test Loss: 0.62758490,  Test Accuracy: 79.100, Time: 28.202s
Epoch: 3,  Train Loss: 0.51645430,  Train Accuracy: 82.324,  Test Loss: 0.70036349,  Test Accuracy: 77.240, Time: 28.192s
Epoch: 4,  Train Loss: 0.40728416,  Train Accuracy: 85.984,  Test Loss: 0.53651181,  Test Accuracy: 82.200, Time: 28.142s
Epoch: 5,  Train Loss: 0.31687160,  Train Accuracy: 88.904,  Test Loss: 0.56193957,  Test Accuracy: 82.090, Time: 28.230s
Epoch: 6,  Train Loss: 0.25285892,  Train Accuracy: 91.178,  Test Loss: 0.60172127,  Test Accuracy: 81.060, Time: 28.119s
Epoch: 7,  Train Loss: 0.19446702,  Train Accuracy: 93.316,  Test Loss: 0.59251808,  Test Accuracy: 81.400, Time: 28.086s
Epoch: 8,  Train Loss: 0.15326508,  Train Accuracy: 94.634,  Test Loss: 0.58929748,  Test Accuracy: 82.980, Time: 28.108s
Epoch: 9,  Train Loss: 0.12871152,  Train Accuracy: 95.556,  Test Loss: 0.66717490,  Test Accuracy: 81.380, Time: 28.049s
Epoch: 10,  Train Loss: 0.10069666,  Train Accuracy: 96.586,  Test Loss: 0.58694439,  Test Accuracy: 83.490, Time: 28.203s
Epoch: 11,  Train Loss: 0.09006189,  Train Accuracy: 96.956,  Test Loss: 0.63885621,  Test Accuracy: 82.880, Time: 28.015s
Epoch: 12,  Train Loss: 0.08296522,  Train Accuracy: 97.248,  Test Loss: 0.57963553,  Test Accuracy: 84.020, Time: 28.105s
Epoch: 13,  Train Loss: 0.06964151,  Train Accuracy: 97.678,  Test Loss: 0.66590350,  Test Accuracy: 83.120, Time: 28.137s
Epoch: 14,  Train Loss: 0.06860676,  Train Accuracy: 97.676,  Test Loss: 0.61089569,  Test Accuracy: 83.950, Time: 28.115s
Epoch: 15,  Train Loss: 0.06784324,  Train Accuracy: 97.716,  Test Loss: 0.60771350,  Test Accuracy: 84.010, Time: 28.124s
Epoch: 16,  Train Loss: 0.06157197,  Train Accuracy: 97.986,  Test Loss: 0.58488375,  Test Accuracy: 84.310, Time: 28.130s
Epoch: 17,  Train Loss: 0.05233367,  Train Accuracy: 98.376,  Test Loss: 0.64923921,  Test Accuracy: 82.990, Time: 28.061s
Epoch: 18,  Train Loss: 0.05859791,  Train Accuracy: 98.018,  Test Loss: 0.63775161,  Test Accuracy: 83.670, Time: 28.041s
Epoch: 19,  Train Loss: 0.05159281,  Train Accuracy: 98.280,  Test Loss: 0.73099906,  Test Accuracy: 81.940, Time: 28.127s
Epoch: 20,  Train Loss: 0.05456794,  Train Accuracy: 98.234,  Test Loss: 0.65966283,  Test Accuracy: 83.110, Time: 28.173s
Epoch: 21,  Train Loss: 0.04710431,  Train Accuracy: 98.552,  Test Loss: 0.62413521,  Test Accuracy: 83.910, Time: 28.045s
Epoch: 22,  Train Loss: 0.05212475,  Train Accuracy: 98.282,  Test Loss: 0.60782429,  Test Accuracy: 84.430, Time: 28.062s
Epoch: 23,  Train Loss: 0.05011568,  Train Accuracy: 98.384,  Test Loss: 0.69583060,  Test Accuracy: 82.500, Time: 28.126s
Epoch: 24,  Train Loss: 0.05294306,  Train Accuracy: 98.320,  Test Loss: 0.62879837,  Test Accuracy: 83.940, Time: 28.104s
Epoch: 25,  Train Loss: 0.04821362,  Train Accuracy: 98.418,  Test Loss: 0.65230421,  Test Accuracy: 83.540, Time: 28.073s
Epoch: 26,  Train Loss: 0.04633251,  Train Accuracy: 98.496,  Test Loss: 0.75124670,  Test Accuracy: 81.870, Time: 28.042s
Epoch: 27,  Train Loss: 0.04699102,  Train Accuracy: 98.498,  Test Loss: 0.61906301,  Test Accuracy: 84.190, Time: 28.129s
Epoch: 28,  Train Loss: 0.04503372,  Train Accuracy: 98.504,  Test Loss: 0.65049426,  Test Accuracy: 83.790, Time: 28.105s
Epoch: 29,  Train Loss: 0.04601378,  Train Accuracy: 98.482,  Test Loss: 0.61607886,  Test Accuracy: 84.290, Time: 28.055s
Epoch: 30,  Train Loss: 0.04129045,  Train Accuracy: 98.654,  Test Loss: 0.64002464,  Test Accuracy: 83.730, Time: 28.082s

Best Accuracy: 84.430

